Date,Day,Shift,Emp Name,Weekoff,Emp Id,Emp Designation,Emp Dept
2025-07-01,Tuesday,General,General Emp 1,General,1001,HR,IT
2025-07-01,Tuesday,General,General Emp 2,General,1002,Manager,Finance
2025-07-01,Tuesday,General,General Emp 3,General,1003,Senior Manager,HR
2025-07-01,Tuesday,General,General Emp 4,General,1004,Lead,Ops
2025-07-01,Tuesday,General,General Emp 5,General,1005,HR,IT
2025-07-01,Tuesday,General,General Emp 6,General,1006,Manager,Finance
2025-07-01,Tuesday,General,General Emp 7,General,1007,Senior Manager,HR
2025-07-01,Tuesday,General,General Emp 8,General,1008,Lead,Ops
2025-07-01,Tuesday,General,General Emp 9,General,1009,HR,IT
2025-07-01,Tuesday,General,General Emp 10,General,1010,Manager,Finance
2025-07-01,Tuesday,General,General Emp 11,General,1011,Senior Manager,HR
2025-07-01,Tuesday,General,General Emp 12,General,1012,Lead,Ops
2025-07-01,Tuesday,General,General Emp 13,General,1013,HR,IT
2025-07-01,Tuesday,General,General Emp 14,General,1014,Manager,Finance
2025-07-01,Tuesday,General,General Emp 15,General,1015,Senior Manager,HR
2025-07-01,Tuesday,General,General Emp 16,General,1016,Lead,Ops
2025-07-01,Tuesday,General,General Emp 17,General,1017,Senior Manager,HR
2025-07-01,Tuesday,General,General Emp 18,General,1018,Lead,Ops
2025-07-01,Tuesday,I,Shift Emp 1,Saturday,1019,,Traffic
2025-07-01,Tuesday,I,Shift Emp 2,Saturday,1020,,Traffic
2025-07-01,Tuesday,I,Shift Emp 3,Saturday,1021,,Traffic
2025-07-01,Tuesday,I,Shift Emp 4,Saturday,1022,,Traffic
2025-07-01,Tuesday,I,Shift Emp 5,Saturday,1023,,Traffic
2025-07-01,Tuesday,I,Shift Emp 6,Saturday,1024,,Traffic
2025-07-01,Tuesday,I,Shift Emp 7,Saturday,1025,,Traffic
2025-07-01,Tuesday,I,Shift Emp 8,Wednesday,1026,,Traffic
2025-07-01,Tuesday,I,Shift Emp 9,Wednesday,1027,,Traffic
2025-07-01,Tuesday,I,Shift Emp 10,Wednesday,1028,,Traffic
2025-07-01,Tuesday,I,Shift Emp 11,Wednesday,1029,,Traffic
2025-07-01,Tuesday,I,Shift Emp 12,Wednesday,1030,,Traffic
2025-07-01,Tuesday,I,Shift Emp 13,Wednesday,1031,,Traffic
2025-07-01,Tuesday,I,Shift Emp 14,Wednesday,1032,,Traffic
2025-07-01,Tuesday,II,Shift Emp 15,Friday,1033,,Traffic
2025-07-01,Tuesday,II,Shift Emp 16,Friday,1034,,Traffic
2025-07-01,Tuesday,II,Shift Emp 17,Friday,1035,,Traffic
2025-07-01,Tuesday,II,Shift Emp 18,Friday,1036,,Traffic
2025-07-01,Tuesday,II,Shift Emp 19,Friday,1037,,Traffic
2025-07-01,Tuesday,II,Shift Emp 20,Friday,1038,,Traffic
2025-07-01,Tuesday,II,Shift Emp 21,Friday,1039,,Traffic
2025-07-01,Tuesday,II,Shift Emp 22,Monday,1040,,Traffic
2025-07-01,Tuesday,II,Shift Emp 23,Monday,1041,,Traffic
2025-07-01,Tuesday,II,Shift Emp 24,Monday,1042,,Traffic
2025-07-01,Tuesday,II,Shift Emp 25,Monday,1043,,Traffic
2025-07-01,Tuesday,II,Shift Emp 26,Monday,1044,,Traffic
2025-07-01,Tuesday,II,Shift Emp 27,Monday,1045,,Traffic
2025-07-01,Tuesday,II,Shift Emp 28,Monday,1046,,Traffic
2025-07-01,Tuesday,III,Shift Emp 29,Thursday,1047,,Traffic
2025-07-01,Tuesday,III,Shift Emp 30,Thursday,1048,,Traffic
2025-07-01,Tuesday,III,Shift Emp 31,Thursday,1049,,Traffic
2025-07-01,Tuesday,III,Shift Emp 32,Thursday,1050,,Traffic
2025-07-01,Tuesday,III,Shift Emp 33,Thursday,1051,,Traffic
2025-07-01,Tuesday,III,Shift Emp 34,Thursday,1052,,Traffic
2025-07-01,Tuesday,III,Shift Emp 35,Thursday,1053,,Traffic
2025-07-01,Tuesday,III,Shift Emp 36,Sunday,1054,,Traffic
2025-07-01,Tuesday,III,Shift Emp 37,Sunday,1055,,Traffic
2025-07-01,Tuesday,III,Shift Emp 38,Sunday,1056,,Traffic
2025-07-01,Tuesday,III,Shift Emp 39,Sunday,1057,,Traffic
2025-07-01,Tuesday,III,Shift Emp 40,Sunday,1058,,Traffic
2025-07-01,Tuesday,III,Shift Emp 41,Sunday,1059,,Traffic
2025-07-01,Tuesday,III,Shift Emp 42,Sunday,1060,,Traffic
2025-07-02,Wednesday,General,General Emp 1,General,1001,HR,IT
2025-07-02,Wednesday,General,General Emp 2,General,1002,Manager,Finance
2025-07-02,Wednesday,General,General Emp 3,General,1003,Senior Manager,HR
2025-07-02,Wednesday,General,General Emp 4,General,1004,Lead,Ops
2025-07-02,Wednesday,General,General Emp 5,General,1005,HR,IT
2025-07-02,Wednesday,General,General Emp 6,General,1006,Manager,Finance
2025-07-02,Wednesday,General,General Emp 7,General,1007,Senior Manager,HR
2025-07-02,Wednesday,General,General Emp 8,General,1008,Lead,Ops
2025-07-02,Wednesday,General,General Emp 9,General,1009,HR,IT
2025-07-02,Wednesday,General,General Emp 10,General,1010,Manager,Finance
2025-07-02,Wednesday,General,General Emp 11,General,1011,Senior Manager,HR
2025-07-02,Wednesday,General,General Emp 12,General,1012,Lead,Ops
2025-07-02,Wednesday,General,General Emp 13,General,1013,HR,IT
2025-07-02,Wednesday,General,General Emp 14,General,1014,Manager,Finance
2025-07-02,Wednesday,General,General Emp 15,General,1015,Senior Manager,HR
2025-07-02,Wednesday,General,General Emp 16,General,1016,Lead,Ops
2025-07-02,Wednesday,General,General Emp 17,General,1017,Senior Manager,HR
2025-07-02,Wednesday,General,General Emp 18,General,1018,Lead,Ops
2025-07-02,Wednesday,I,Shift Emp 1,Saturday,1019,,Traffic
2025-07-02,Wednesday,I,Shift Emp 2,Saturday,1020,,Traffic
2025-07-02,Wednesday,I,Shift Emp 3,Saturday,1021,,Traffic
2025-07-02,Wednesday,I,Shift Emp 4,Saturday,1022,,Traffic
2025-07-02,Wednesday,I,Shift Emp 5,Saturday,1023,,Traffic
2025-07-02,Wednesday,I,Shift Emp 6,Saturday,1024,,Traffic
2025-07-02,Wednesday,I,Shift Emp 7,Saturday,1025,,Traffic
2025-07-02,Wednesday,I,Shift Emp 8,Tuesday,1026,,Traffic
2025-07-02,Wednesday,I,Shift Emp 9,Tuesday,1027,,Traffic
2025-07-02,Wednesday,I,Shift Emp 10,Tuesday,1028,,Traffic
2025-07-02,Wednesday,I,Shift Emp 11,Tuesday,1029,,Traffic
2025-07-02,Wednesday,I,Shift Emp 12,Tuesday,1030,,Traffic
2025-07-02,Wednesday,I,Shift Emp 13,Tuesday,1031,,Traffic
2025-07-02,Wednesday,I,Shift Emp 14,Tuesday,1032,,Traffic
2025-07-02,Wednesday,II,Shift Emp 15,Friday,1033,,Traffic
2025-07-02,Wednesday,II,Shift Emp 16,Friday,1034,,Traffic
2025-07-02,Wednesday,II,Shift Emp 17,Friday,1035,,Traffic
2025-07-02,Wednesday,II,Shift Emp 18,Friday,1036,,Traffic
2025-07-02,Wednesday,II,Shift Emp 19,Friday,1037,,Traffic
2025-07-02,Wednesday,II,Shift Emp 20,Friday,1038,,Traffic
2025-07-02,Wednesday,II,Shift Emp 21,Friday,1039,,Traffic
2025-07-02,Wednesday,II,Shift Emp 22,Monday,1040,,Traffic
2025-07-02,Wednesday,II,Shift Emp 23,Monday,1041,,Traffic
2025-07-02,Wednesday,II,Shift Emp 24,Monday,1042,,Traffic
2025-07-02,Wednesday,II,Shift Emp 25,Monday,1043,,Traffic
2025-07-02,Wednesday,II,Shift Emp 26,Monday,1044,,Traffic
2025-07-02,Wednesday,II,Shift Emp 27,Monday,1045,,Traffic
2025-07-02,Wednesday,II,Shift Emp 28,Monday,1046,,Traffic
2025-07-02,Wednesday,III,Shift Emp 29,Thursday,1047,,Traffic
2025-07-02,Wednesday,III,Shift Emp 30,Thursday,1048,,Traffic
2025-07-02,Wednesday,III,Shift Emp 31,Thursday,1049,,Traffic
2025-07-02,Wednesday,III,Shift Emp 32,Thursday,1050,,Traffic
2025-07-02,Wednesday,III,Shift Emp 33,Thursday,1051,,Traffic
2025-07-02,Wednesday,III,Shift Emp 34,Thursday,1052,,Traffic
2025-07-02,Wednesday,III,Shift Emp 35,Thursday,1053,,Traffic
2025-07-02,Wednesday,III,Shift Emp 36,Sunday,1054,,Traffic
2025-07-02,Wednesday,III,Shift Emp 37,Sunday,1055,,Traffic
2025-07-02,Wednesday,III,Shift Emp 38,Sunday,1056,,Traffic
2025-07-02,Wednesday,III,Shift Emp 39,Sunday,1057,,Traffic
2025-07-02,Wednesday,III,Shift Emp 40,Sunday,1058,,Traffic
2025-07-02,Wednesday,III,Shift Emp 41,Sunday,1059,,Traffic
2025-07-02,Wednesday,III,Shift Emp 42,Sunday,1060,,Traffic
2025-07-03,Thursday,General,General Emp 1,General,1001,HR,IT
2025-07-03,Thursday,General,General Emp 2,General,1002,Manager,Finance
2025-07-03,Thursday,General,General Emp 3,General,1003,Senior Manager,HR
2025-07-03,Thursday,General,General Emp 4,General,1004,Lead,Ops
2025-07-03,Thursday,General,General Emp 5,General,1005,HR,IT
2025-07-03,Thursday,General,General Emp 6,General,1006,Manager,Finance
2025-07-03,Thursday,General,General Emp 7,General,1007,Senior Manager,HR
2025-07-03,Thursday,General,General Emp 8,General,1008,Lead,Ops
2025-07-03,Thursday,General,General Emp 9,General,1009,HR,IT
2025-07-03,Thursday,General,General Emp 10,General,1010,Manager,Finance
2025-07-03,Thursday,General,General Emp 11,General,1011,Senior Manager,HR
2025-07-03,Thursday,General,General Emp 12,General,1012,Lead,Ops
2025-07-03,Thursday,General,General Emp 13,General,1013,HR,IT
2025-07-03,Thursday,General,General Emp 14,General,1014,Manager,Finance
2025-07-03,Thursday,General,General Emp 15,General,1015,Senior Manager,HR
2025-07-03,Thursday,General,General Emp 16,General,1016,Lead,Ops
2025-07-03,Thursday,General,General Emp 17,General,1017,Senior Manager,HR
2025-07-03,Thursday,General,General Emp 18,General,1018,Lead,Ops
2025-07-03,Thursday,I,Shift Emp 1,Saturday,1019,,Traffic
2025-07-03,Thursday,I,Shift Emp 2,Saturday,1020,,Traffic
2025-07-03,Thursday,I,Shift Emp 3,Saturday,1021,,Traffic
2025-07-03,Thursday,I,Shift Emp 4,Saturday,1022,,Traffic
2025-07-03,Thursday,I,Shift Emp 5,Saturday,1023,,Traffic
2025-07-03,Thursday,I,Shift Emp 6,Saturday,1024,,Traffic
2025-07-03,Thursday,I,Shift Emp 7,Saturday,1025,,Traffic
2025-07-03,Thursday,I,Shift Emp 8,Tuesday,1026,,Traffic
2025-07-03,Thursday,I,Shift Emp 9,Tuesday,1027,,Traffic
2025-07-03,Thursday,I,Shift Emp 10,Tuesday,1028,,Traffic
2025-07-03,Thursday,I,Shift Emp 11,Tuesday,1029,,Traffic
2025-07-03,Thursday,I,Shift Emp 12,Tuesday,1030,,Traffic
2025-07-03,Thursday,I,Shift Emp 13,Tuesday,1031,,Traffic
2025-07-03,Thursday,I,Shift Emp 14,Tuesday,1032,,Traffic
2025-07-03,Thursday,II,Shift Emp 15,Friday,1033,,Traffic
